grafo,threads,n,tiempo
arbol,1,100,0.869068
arbol,2,100,0.750306
arbol,4,100,21.3367
arbol,8,100,81.1574
arbol,16,100,9.00917
arbol,32,100,11.5209
arbol,1,100,0.444153
arbol,2,100,1.32546
arbol,4,100,6.77296
arbol,8,100,10.0825
arbol,16,100,187.234
arbol,32,100,9.4228
arbol,1,100,0.516597
arbol,2,100,0.898756
arbol,4,100,6.71226
arbol,8,100,127.59
arbol,16,100,118.217
arbol,32,100,296.806
arbol,1,100,0.53944
arbol,2,100,0.914848
arbol,4,100,2.3496
arbol,8,100,73.085
arbol,16,100,285.589
arbol,32,100,412.989
arbol,1,100,1.52996
arbol,2,100,6.50862
arbol,4,100,5.90551
arbol,8,100,25.0089
arbol,16,100,120.198
arbol,32,100,363.459
arbol,1,100,0.389306
arbol,2,100,4.10575
arbol,4,100,5.76645
arbol,8,100,119.315
arbol,16,100,168.849
arbol,32,100,472.049
arbol,1,100,0.393365
arbol,2,100,0.907196
arbol,4,100,5.73066
arbol,8,100,107.005
arbol,16,100,252.64
arbol,32,100,571.089
arbol,1,100,0.553255
arbol,2,100,4.74649
arbol,4,100,3.24376
arbol,8,100,9.36701
arbol,16,100,13.8728
arbol,32,100,183.979
arbol,1,100,0.416996
arbol,2,100,0.961342
arbol,4,100,12.6964
arbol,8,100,30.9304
arbol,16,100,119.559
arbol,32,100,167.899
arbol,1,100,0.38033
arbol,2,100,1.09917
arbol,4,100,8.72663
arbol,8,100,70.8979
arbol,16,100,263.351
arbol,32,100,3.58338
ralo,1,100,1.26853
ralo,2,100,5.75978
ralo,4,100,33.3893
ralo,8,100,67.4005
ralo,16,100,136.145
ralo,32,100,144.247
ralo,1,100,1.48473
ralo,2,100,4.14339
ralo,4,100,6.04024
ralo,8,100,100.205
ralo,16,100,126.179
ralo,32,100,86.7912
ralo,1,100,1.17565
ralo,2,100,6.11527
ralo,4,100,6.03648
ralo,8,100,37.3909
ralo,16,100,145.152
ralo,32,100,150.342
ralo,1,100,1.49165
ralo,2,100,5.02051
ralo,4,100,5.9104
ralo,8,100,80.5272
ralo,16,100,181.343
ralo,32,100,290.266
ralo,1,100,1.4464
ralo,2,100,4.02523
ralo,4,100,8.19261
ralo,8,100,89.5557
ralo,16,100,64.1528
ralo,32,100,236.967
ralo,1,100,3.26355
ralo,2,100,4.59497
ralo,4,100,5.97137
ralo,8,100,64.2368
ralo,16,100,388.284
ralo,32,100,141.646
ralo,1,100,1.48636
ralo,2,100,4.05935
ralo,4,100,6.16848
ralo,8,100,29.7994
ralo,16,100,186.82
ralo,32,100,267.446
ralo,1,100,1.49179
ralo,2,100,4.76446
ralo,4,100,6.25296
ralo,8,100,107.063
ralo,16,100,162.006
ralo,32,100,262.896
ralo,1,100,1.52816
ralo,2,100,5.98047
ralo,4,100,15.1733
ralo,8,100,123.202
ralo,16,100,160.281
ralo,32,100,276.296
ralo,1,100,1.52826
ralo,2,100,4.26479
ralo,4,100,6.27816
ralo,8,100,103.539
ralo,16,100,233.448
ralo,32,100,118.601
completo,1,100,10.8104
completo,2,100,21.2438
completo,4,100,30.961
completo,8,100,140.099
completo,16,100,407.721
completo,32,100,162.935
completo,1,100,14.475
completo,2,100,25.0989
completo,4,100,30.8787
completo,8,100,149.44
completo,16,100,270.814
completo,32,100,344.189
completo,1,100,13.8664
completo,2,100,21.0998
completo,4,100,35.9885
completo,8,100,63.0872
completo,16,100,112.257
completo,32,100,233.438
completo,1,100,10.1851
completo,2,100,21.6783
completo,4,100,27.8316
completo,8,100,70.7234
completo,16,100,260.562
completo,32,100,173.362
completo,1,100,13.1752
completo,2,100,19.471
completo,4,100,29.3501
completo,8,100,81.7674
completo,16,100,59.2017
completo,32,100,150.922
completo,1,100,12.501
completo,2,100,21.7183
completo,4,100,27.5863
completo,8,100,177.206
completo,16,100,198.024
completo,32,100,253.039
completo,1,100,11.8543
completo,2,100,15.1123
completo,4,100,29.8587
completo,8,100,147.857
completo,16,100,143.882
completo,32,100,263.613
completo,1,100,12.6814
completo,2,100,22.8182
completo,4,100,28.2926
completo,8,100,116.222
completo,16,100,174.388
completo,32,100,120.874
completo,1,100,14.7277
completo,2,100,23.2201
completo,4,100,29.2106
completo,8,100,52.3378
completo,16,100,192.015
completo,32,100,163.449
completo,1,100,11.9452
completo,2,100,23.5512
completo,4,100,27.3538
completo,8,100,63.5965
completo,16,100,149.606
completo,32,100,213.797
arbol,1,200,0.767555
arbol,2,200,12.4523
arbol,4,200,12.7611
arbol,8,200,67.2002
arbol,16,200,339.433
arbol,32,200,425.456
arbol,1,200,1.44283
arbol,2,200,12.3333
arbol,4,200,14.3317
arbol,8,200,161.112
arbol,16,200,285.728
arbol,32,200,24.5796
arbol,1,200,0.925048
arbol,2,200,9.7605
arbol,4,200,18.7747
arbol,8,200,31.2498
arbol,16,200,29.3841
arbol,32,200,539.516
arbol,1,200,1.04276
arbol,2,200,14.3861
arbol,4,200,17.5841
arbol,8,200,61.8023
arbol,16,200,154.695
arbol,32,200,178.782
arbol,1,200,1.25985
arbol,2,200,10.9083
arbol,4,200,7.36684
arbol,8,200,60.71
arbol,16,200,398.422
arbol,32,200,358.983
arbol,1,200,1.40991
arbol,2,200,8.75863
arbol,4,200,15.8594
arbol,8,200,129.173
arbol,16,200,53.7363
arbol,32,200,272.659
arbol,1,200,1.04097
arbol,2,200,8.64031
arbol,4,200,11.3134
arbol,8,200,54.9828
arbol,16,200,359.196
arbol,32,200,162.57
arbol,1,200,0.820007
arbol,2,200,8.93086
arbol,4,200,4.00793
arbol,8,200,21.9707
arbol,16,200,159.207
arbol,32,200,456.808
arbol,1,200,1.14993
arbol,2,200,6.97458
arbol,4,200,2.60945
arbol,8,200,10.7211
arbol,16,200,426.037
arbol,32,200,353.307
arbol,1,200,1.09159
arbol,2,200,10.5439
arbol,4,200,4.80515
arbol,8,200,62.2009
arbol,16,200,229.767
arbol,32,200,39.2888
ralo,1,200,6.46603
ralo,2,200,20.1037
ralo,4,200,24.391
ralo,8,200,78.6446
ralo,16,200,412.842
ralo,32,200,443.684
ralo,1,200,4.59269
ralo,2,200,18.1919
ralo,4,200,24.986
ralo,8,200,167.223
ralo,16,200,426.86
ralo,32,200,1223.05
ralo,1,200,4.22405
ralo,2,200,19.1908
ralo,4,200,25.6388
ralo,8,200,170.276
ralo,16,200,521.183
ralo,32,200,650.379
ralo,1,200,5.27193
ralo,2,200,18.067
ralo,4,200,31.691
ralo,8,200,162.25
ralo,16,200,303.979
ralo,32,200,849.866
ralo,1,200,4.21757
ralo,2,200,17.2485
ralo,4,200,37.7974
ralo,8,200,137.696
ralo,16,200,319.094
ralo,32,200,960.617
ralo,1,200,4.48751
ralo,2,200,18.735
ralo,4,200,24.6024
ralo,8,200,138.34
ralo,16,200,193.52
ralo,32,200,593.164
ralo,1,200,5.74042
ralo,2,200,12.9473
ralo,4,200,31.1975
ralo,8,200,91.7413
ralo,16,200,181.476
ralo,32,200,680.412
ralo,1,200,5.22773
ralo,2,200,17.3666
ralo,4,200,25.9576
ralo,8,200,147.403
ralo,16,200,468.001
ralo,32,200,855.19
ralo,1,200,4.68137
ralo,2,200,18.8468
ralo,4,200,27.3781
ralo,8,200,166.217
ralo,16,200,450.172
ralo,32,200,1043.04
ralo,1,200,4.62309
ralo,2,200,18.5837
ralo,4,200,24.6826
ralo,8,200,144.241
ralo,16,200,442.64
ralo,32,200,923.617
completo,1,200,46.4815
completo,2,200,73.7024
completo,4,200,95.0015
completo,8,200,343.009
completo,16,200,821.844
completo,32,200,667.956
completo,1,200,48.4854
completo,2,200,75.7196
completo,4,200,99.6893
completo,8,200,397.443
completo,16,200,822.935
completo,32,200,648.04
completo,1,200,43.4063
completo,2,200,73.81
completo,4,200,105.632
completo,8,200,269.098
completo,16,200,701.281
completo,32,200,628.683
completo,1,200,55.025
completo,2,200,75.2394
completo,4,200,98.2539
completo,8,200,348.363
completo,16,200,324.76
completo,32,200,775.13
completo,1,200,52.7676
completo,2,200,74.2334
completo,4,200,98.1343
completo,8,200,389.227
completo,16,200,869.314
completo,32,200,535.803
completo,1,200,43.76
completo,2,200,74.8427
completo,4,200,99.4409
completo,8,200,288.993
completo,16,200,611.031
completo,32,200,500.298
completo,1,200,48.6871
completo,2,200,74.9184
completo,4,200,97.4359
completo,8,200,382.406
completo,16,200,413.239
completo,32,200,594.479
completo,1,200,48.2806
completo,2,200,74.0122
completo,4,200,96.5417
completo,8,200,283.588
completo,16,200,1047.54
completo,32,200,765.48
completo,1,200,43.3079
completo,2,200,75.0889
completo,4,200,102.937
completo,8,200,362.192
completo,16,200,479.416
completo,32,200,868.754
completo,1,200,50.5213
completo,2,200,79.6807
completo,4,200,109.648
completo,8,200,377.258
completo,16,200,472.459
completo,32,200,728.38
arbol,1,300,2.24957
arbol,2,300,21.5286
arbol,4,300,24.8533
arbol,8,300,41.931
arbol,16,300,68.8854
arbol,32,300,778.219
arbol,1,300,1.2317
arbol,2,300,24.7883
arbol,4,300,16.8296
arbol,8,300,66.2577
arbol,16,300,45.411
arbol,32,300,402.19
arbol,1,300,1.29465
arbol,2,300,24.1317
arbol,4,300,12.6975
arbol,8,300,26.8218
arbol,16,300,198.175
arbol,32,300,52.0364
arbol,1,300,1.43139
arbol,2,300,1.42475
arbol,4,300,24.8404
arbol,8,300,31.0193
arbol,16,300,291.801
arbol,32,300,152.714
arbol,1,300,1.2373
arbol,2,300,16.115
arbol,4,300,27.9447
arbol,8,300,36.7417
arbol,16,300,407.953
arbol,32,300,117.956
arbol,1,300,1.2064
arbol,2,300,26.7712
arbol,4,300,29.4861
arbol,8,300,13.2535
arbol,16,300,109.545
arbol,32,300,276.13
arbol,1,300,1.274
arbol,2,300,25.4131
arbol,4,300,24.8759
arbol,8,300,28.3048
arbol,16,300,52.1199
arbol,32,300,445.193
arbol,1,300,1.16985
arbol,2,300,24.3035
arbol,4,300,12.5903
arbol,8,300,65.8281
arbol,16,300,53.8893
arbol,32,300,343.501
arbol,1,300,1.31095
arbol,2,300,21.5503
arbol,4,300,27.5784
arbol,8,300,31.6847
arbol,16,300,54.3073
arbol,32,300,17.0428
arbol,1,300,1.09673
arbol,2,300,18.6311
arbol,4,300,22.8284
arbol,8,300,51.1566
arbol,16,300,36.1376
arbol,32,300,126.534
ralo,1,300,12.7882
ralo,2,300,45.1884
ralo,4,300,65.5351
ralo,8,300,336.658
ralo,16,300,1390.58
ralo,32,300,2077.01
ralo,1,300,10.4605
ralo,2,300,42.5999
ralo,4,300,67.38
ralo,8,300,494.523
ralo,16,300,1275.91
ralo,32,300,3396.67
ralo,1,300,12.8882
ralo,2,300,39.4585
ralo,4,300,76.3784
ralo,8,300,241.683
ralo,16,300,1275
ralo,32,300,3009.21
ralo,1,300,9.65961
ralo,2,300,51.6889
ralo,4,300,64.0562
ralo,8,300,490.456
ralo,16,300,1137.09
ralo,32,300,1428.82
ralo,1,300,12.3251
ralo,2,300,44.6349
ralo,4,300,65.8768
ralo,8,300,571.425
ralo,16,300,890.685
ralo,32,300,1838.35
ralo,1,300,14.2941
ralo,2,300,44.9423
ralo,4,300,70.2321
ralo,8,300,411.432
ralo,16,300,1187.21
ralo,32,300,2930.23
ralo,1,300,11.536
ralo,2,300,38.4489
ralo,4,300,72.6449
ralo,8,300,479.713
ralo,16,300,1015.23
ralo,32,300,1648.41
ralo,1,300,10.2905
ralo,2,300,49.4429
ralo,4,300,85.777
ralo,8,300,482.923
ralo,16,300,1093.47
ralo,32,300,2122.84
ralo,1,300,11.1872
ralo,2,300,43.8359
ralo,4,300,71.8887
ralo,8,300,415.761
ralo,16,300,981.791
ralo,32,300,1141.42
ralo,1,300,11.3745
ralo,2,300,44.5072
ralo,4,300,95.3874
ralo,8,300,487.543
ralo,16,300,1092.13
ralo,32,300,2507.36
completo,1,300,109.705
completo,2,300,176.416
completo,4,300,225.28
completo,8,300,730.925
completo,16,300,1283.49
completo,32,300,1780.31
completo,1,300,101.598
completo,2,300,175.772
completo,4,300,251.915
completo,8,300,883.59
completo,16,300,1016.65
completo,32,300,1759.7
completo,1,300,111.836
completo,2,300,163.237
completo,4,300,234.909
completo,8,300,765.759
completo,16,300,1620.3
completo,32,300,1217.91
completo,1,300,101.861
completo,2,300,169.496
completo,4,300,239.626
completo,8,300,756.895
completo,16,300,1371.56
completo,32,300,3385.21
completo,1,300,110.669
completo,2,300,165.705
completo,4,300,235.385
completo,8,300,861.435
completo,16,300,1551.09
completo,32,300,1799.77
completo,1,300,102.095
completo,2,300,175.226
completo,4,300,220.108
completo,8,300,745.007
completo,16,300,874.574
completo,32,300,2176.08
completo,1,300,114.5
completo,2,300,166.868
completo,4,300,235.17
completo,8,300,745.985
completo,16,300,1496.51
completo,32,300,1904.83
completo,1,300,108.417
completo,2,300,164.262
completo,4,300,233.518
completo,8,300,772.622
completo,16,300,1241.25
completo,32,300,2357.27
completo,1,300,101.505
completo,2,300,168.439
completo,4,300,237.408
completo,8,300,493.876
completo,16,300,1321.87
completo,32,300,2136.12
